brand_id_std	brand_name_std	secondary_mkt_industry1	 brand_sale_amount
10351691	泓一	食品饮料	 25,420,263
10789561	启赋	食品饮料	 30,790,670
10317371	百菲酪	食品饮料	 30,963,117
10356360	ACANA/爱肯拿	食品饮料	 29,172,909
10064424	千禾	食品饮料	 31,867,710
10949445	奈氏力斯	食品饮料	 25,773,769
10943576	CPT/康比特	食品饮料	 27,430,449
10485815	水井坊	食品饮料	 41,802,379
10638452	SEAMILD/西麦	食品饮料	 27,516,398
10289338	广州酒家	其他行业	 220,355,703
10553146	ORGANIKA	食品饮料	 34,765,646
10572108	MALING/梅林	食品饮料	 25,865,087
10412650	Hennessy/轩尼诗	食品饮料	 32,725,655
12653401	FANCL HealthScience	食品饮料	 26,098,562
10520351	福瑞达	食品饮料	 25,295,069
10021301	融和（食品）	食品饮料	 27,549,325
10714727	赖茅	食品饮料	 28,747,760
10698680	Doppel Herz/双心	食品饮料	 25,663,839
10937055	Martell/马爹利	食品饮料	 33,788,901
10121904	Remy Martin/人头马	食品饮料	 34,927,379
10723916	Mckin/麦金利	食品饮料	 26,485,678
12659760	SorLife	食品饮料	 38,182,816
10846407	舍得	食品饮料	 31,231,943
10937086	苏湖港	其他行业	 32,203,678
10590623	jiahua food/嘉华	其他行业	 33,017,420
10049619	Allnature/安美奇	食品饮料	 33,551,436
12659750	FOLOTTO	食品饮料	 36,658,380
12658753	VENITEX（居家布艺）	食品饮料	 30,362,411
10936971	今旺	其他行业	 19,289,896
10119220	Changhong/长虹	3C数码	 16,563,476
10767648	Fotile/方太	家用电器	 338,274,914
10149324	Hisense/海信（白电及其他）	家用电器	 172,516,009
10364377	Leader/统帅	家用电器	 242,153,362
10939768	华凌	家用电器	 165,881,800
10407851	Macro/万家乐	家用电器	 142,994,315
10768959	SKG	家用电器	 159,037,854
10462180	Casarte/卡萨帝	家用电器	 120,700,216
10479211	Kelon/科龙	家用电器	 42,841,110
10119227	FRESTECH/新飞	家用电器	 96,966,495
10153298	SAST/先科	3C数码	 114,047,342
10253230	MARSSENGER/火星人	家用电器	 102,624,430
10073599	lecon/乐创	家用电器	 87,556,331
10123653	coocaa/酷开	家用电器	 86,772,384
10551501	沁园	家用电器	 86,360,867
10407549	Rinnai/林内	家用电器	 82,185,518
10263415	Aucma/澳柯玛	家用电器	 66,775,113
10191413	Braun/博朗	医药保健	 14,577,144
10839704	XINGX/星星	家用电器	 65,806,526
10268880	Westinghouse/西屋	家用电器	 97,561,144
10657342	本博	家用电器	 54,016,555
12653405	POLLOGEN GENEO	家用电器	 69,204,704
10912149	Canbo/康宝	家用电器	 63,240,823
10943581	VIDAA	家用电器	 46,483,724
10913449	JARE/佳仁	家用电器	 72,276,011
10561029	艾士奇	家用电器	 53,455,951
10003007	SAKURA/樱花	家用电器	 54,312,548
10700949	bobot	家用电器	 60,981,701
10793746	LG	3C数码	 30,183,537
10857244	德玛仕	家用电器	 48,875,800
10129699	Peskoe/半球	家用电器	 47,576,596
10272634	DAEWOO/大宇	家用电器	 47,588,071
10586564	smoothskin/慕金	家用电器	 39,444,704
10794289	Sharp/夏普	家用电器	 45,479,833
10623722	NORITZ/能率	家用电器	 39,619,193
10634999	德业	家用电器	 19,037,456
10340050	小鸭牌	家用电器	 42,436,480
10338798	Donper/东贝	家用电器	 43,216,509
10338075	金稻	家用电器	 31,997,783
10551510	Sacon/帅康	家用电器	 38,325,619
12655309	羚木	家用电器	 69,842,717
10222236	康夫	家用电器	 46,993,850
10765172	Hauswirt/海氏	家用电器	 28,771,247
10221180	entive/亿田	家用电器	 34,852,973
10048784	Seng/森歌	家用电器	 18,542,308
10842305	YUKIDA	家用电器	 32,322,180
10263846	Angel/安吉尔	家用电器	 33,908,698
10578701	ROTAI/荣泰	家用电器	 29,877,513
10624031	Delonghi/德龙	家用电器	 33,503,106
10712997	SminG/尚铭电器	家用电器	 28,970,042
10268165	Le Er Kang/乐尔康	家用电器	 36,034,704
10420632	Whirlpool/惠而浦	家用电器	 29,611,161
10033205	Vvmax/维仕美	家用电器	 37,070,473
10408712	Daikin/大金	家用电器	 19,459,302
10341998	小狗	家用电器	 30,815,443
10197883	SINGFUN/先锋	家用电器	 27,879,197
10629949	OGAWA/奥佳华	家用电器	 36,927,345
10202683	kktv	家用电器	 31,157,131
11027136	易开得	家用电器	 36,680,613
10276189	万保莱	家用电器	 29,704,898
10355202	复旦申花	家用电器	 26,237,070
10264363	山本	家用电器	 19,895,757
10418510	杰诺	家用电器	 29,692,429
10297217	tripollar	家用电器	 32,795,796
10841443	BABAKA/背背佳	家用电器	 19,695,651
10837357	格盾	家用电器	 26,699,768
10533855	uoni/由利	家用电器	 27,615,674
10841268	MESTER/美斯特	家用电器	 77,625,060
10711143	CASDON/凯度	家用电器	 27,710,367
11000257	JOVS	家用电器	 20,242,106
10061657	AOTIN/奥田	家用电器	 32,200,946
10192591	拜尔/BAIR	家用电器	 25,067,519
10624893	奥斯玛	家用电器	 27,501,796
12654615	德慕特	家用电器	 21,233,567
10058796	QTQ	家用电器	 21,834,558
10710208	LEXY/莱克	家用电器	 22,166,689
10893674	happybeicir/享乐贝茨	家用电器	 32,028,001
10943409	ITO/艾拓	家用电器	 25,243,037
10943398	JSK/佳仕康	家用电器	 14,824,240
10237560	申花	家用电器	 18,401,564
10641893	Buydeem/北鼎	家用电器	 26,214,065
10929688	英联瑞仕	家用电器	 24,543,515
10361930	Homa/奥马	家用电器	 16,930,543
10261385	HGST/日立	家用电器	 27,085,131
10936906	喜莱盛	家用电器	 22,919,748
10253480	WORLD KITCHEN	家用电器	 59,728,643
10938359	BEST/百得（家电）	家用电器	 23,878,857
10391883	KARCHER/卡赫	家用电器	 18,767,290
10486059	迪斯	家用电器	 21,255,244
10363383	绿联	3C数码	 123,538,784
10047670	Tonze/天际	家用电器	 20,872,089
10196925	德克西	家用电器	 19,531,804
10319801	OES	家用电器	 18,551,030
10848188	BISSELL/必胜	家用电器	 31,246,693
10270808	索太	家用电器	 22,938,906
10051781	Letv/乐视	家用电器	 20,857,974
10057691	KAMJOVE/金灶	家用电器	 17,468,071
10483648	SEMIKRON/赛米控	家用电器	 19,176,350
10492043	UKOEO/优开	家用电器	 19,121,856
10484805	威力	家用电器	 17,775,205
10482254	艾豪思	家用电器	 15,634,468
10479333	SID/超人	家用电器	 17,441,564
10628264	金正	3C数码	 52,642,267
10913939	BLUEAIR/布鲁雅尔	家用电器	 20,564,817
10143685	SANFER/帅丰	家用电器	 17,932,928
99714428	IROBOT/艾罗伯特	家用电器	 15,878,341
10377592	minij/小吉	家用电器	 17,155,805
10324752	Hivi/惠威	3C数码	 18,443,875
11027258	稚乐	家用电器	 15,134,019
10407525	博莱克	家用电器	 17,021,461
10324728	烹乐	家用电器	 41,702,780
10562022	OLAYKS	家用电器	 15,269,473
11031508	小黄鸭	家用电器	 21,612,779
10124793	艾敏	家用电器	 18,473,811
10809098	Hurom/惠人	家用电器	 15,535,387
10654504	直白	家用电器	 17,479,982
10356756	MZ/茗振	家用电器	 24,750,462
10137056	CLORIS/凯伦诗	家用电器	 15,922,924
10963564	Jeeback/脊安适	家用电器	 32,019,491
10913730	Petrus/柏翠	家用电器	 15,925,458
10494085	DAOGRS	家用电器	 16,014,797
10944462	恒芝	家用电器	 18,418,134
10776755	千山	家用电器	 14,959,132
10061616	BGE/宝工电器	家用电器	 19,129,498
10197065	驰能	家用电器	 14,925,983
11027134	长虹洁立方	家用电器	 15,085,040
10135871	DOLCE GUSTO	家用电器	 15,140,343
10792084	COSBEAUTY/可思美	家用电器	 16,465,112
10970938	TINME	家用电器	 15,271,391
12656310	奇古夬	家用电器	 15,620,082
10696059	ydunvie/易科美	家用电器	 17,344,325
10650943	泰昌	家用电器	 16,289,281
10064885	Joydeer/玖鹿	家用电器	 18,625,004
10047497	HP/惠普	其他行业	 21,801,908
10429338	vivo	3C数码	 1,000,986,635
10293398	Asus/华硕	3C数码	 1,051,920,937
10166483	ThinkPad	3C数码	 446,380,503
10489679	OnePlus/一加	3C数码	 232,071,853
10325258	Hasee/神舟	3C数码	 341,061,076
10191566	TP-Link/普联技术	3C数码	 238,412,083
10929430	AOC	3C数码	 231,710,642
10621445	Acer/宏碁	3C数码	 279,803,452
10036511	Edifier/漫步者	3C数码	 214,334,003
10613520	WD/西部数据	3C数码	 207,819,729
10840816	小天才	3C数码	 187,120,321
10857078	MECHREVO/机械革命	3C数码	 185,234,333
10541317	Microsoft/微软	3C数码	 183,650,720
10901982	MSI/微星	3C数码	 167,988,765
